"suffix","n","GEOID"
"Ln",645,"51073"
"Rd",347,"05133"
"St",438,"18017"
"Rd",342,"16077"
"St",316,"18015"
"St",6187,"42101"
"Rd",282,"56043"
"Rd",139,"37029"
"Rd",902,"36109"
"St",915,"05069"
"Rd",283,"05079"
"Rd",768,"55123"
"Rd",215,"29093"
"St",246,"48223"
"Rd",1388,"36001"
"St",294,"48225"
"Rd",460,"39111"
"St",142,"20165"
"St",411,"18107"
"Ave",43,"20187"
"Rd",532,"21129"
"Rd",157,"27071"
"Dr",4981,"48029"
"Dr",1234,"08013"
"Rd",641,"47089"
"Rd",1083,"40097"
"St",181,"27165"
"Rd",457,"16013"
"Rd",506,"22053"
"St",181,"46119"
"St",2490,"08031"
"Rd",401,"40029"
"Rd",273,"30011"
"St",82,"48461"
"St",532,"18051"
"St",148,"31105"
"Dr",544,"17093"
"Ave",24,"11001"
"Rd",937,"08085"
"St",279,"27171"
"Ave",1248,"55059"
"Rd",670,"08037"
"St",1455,"06075"
"Rd",413,"08113"
"Cir",1402,"02020"
"Dr",1202,"12109"
"Rd",449,"28019"
"St",550,"29079"
"Rd",700,"26085"
"Dr",1541,"26139"
"Ave",11948,"17031"
"Rd",226,"17059"
"Rd",751,"45047"
"St",386,"20059"
"St",166,"27027"
"Rd",385,"47075"
"Rd",693,"49003"
"St",138,"28139"
"Rd",290,"54051"
"Rd",720,"54035"
"Rd",645,"16039"
"Rd",4029,"24005"
"Rd",82,"38005"
"St",332,"29163"
"St",467,"39087"
"St",535,"29201"
"Rd",719,"39001"
"St",252,"48143"
"Rd",661,"13137"
"Rd",299,"13319"
"Rd",1020,"54061"
"St",382,"39033"
"Ave",550,"12027"
"Rd",693,"39059"
"Rd",706,"26015"
"Ln",1013,"29209"
"St",1032,"51760"
"Rd",1267,"37169"
"St",341,"19039"
"St",467,"19065"
"Rd",1000,"06041"
"Dr",587,"48381"
"St",561,"48401"
"St",729,"19181"
"Rd",378,"39161"
"Rd",228,"12043"
"Rd",477,"13199"
"Rd",567,"08023"
"St",413,"48099"
"St",367,"19001"
"Rd",262,"13053"
"Rd",790,"06043"
"St",185,"29089"
"St",743,"41047"
"St",3173,"55079"
"St",380,"27139"
"Rd",397,"39129"
"Rd",226,"51145"
"St",279,"08014"
"Rd",892,"47099"
"Rd",625,"26009"
"Rd",436,"45069"
"Rd",339,"16009"
"Rd",497,"17103"
"St",211,"31127"
