"suffix","n","GEOID"
"Ln",760,"29031"
"Rd",618,"53071"
"St",353,"29133"
"Rd",404,"05025"
"Dr",10512,"48113"
"St",425,"18033"
"Rd",994,"22073"
"St",336,"22095"
"Ln",428,"22091"
"St",181,"29197"
"Rd",637,"01059"
"Rd",126,"21041"
"Rd",302,"08019"
"Rd",206,"48267"
"Rd",561,"26097"
"St",295,"48307"
"St",188,"28141"
"St",91,"48105"
"St",484,"48217"
"St",201,"08075"
"Rd",338,"20055"
"St",784,"20125"
"Rd",498,"45039"
"St",156,"31033"
"St",489,"27091"
"Way",1610,"47155"
"Rd",386,"47139"
"St",33,"48263"
"Rd",147,"30099"
"St",52,"31069"
"St",1314,"17117"
"Rd",603,"39141"
"Rd",624,"17195"
"Dr",3934,"48141"
"St",11,"48301"
"Rd",561,"40077"
"Rd",956,"39167"
"St",376,"29091"
"Ave",173,"20047"
"Ct",2639,"21111"
"St",989,"17107"
"St",714,"55139"
"St",157,"21075"
"St",494,"20079"
"St",117,"30021"
"Rd",308,"54091"
"Rd",627,"26111"
"Rd",405,"28119"
"Ct",575,"21093"
"Rd",637,"17081"
"St",225,"46057"
"Rd",760,"55069"
"Rd",1228,"36033"
"St",159,"51630"
"Rd",939,"54081"
"Rd",1242,"35005"
"Rd",1318,"35049"
"Dr",6619,"06059"
"Ct",726,"04023"
"Rd",335,"37053"
"St",256,"17101"
"St",509,"18067"
"St",276,"18125"
"Rd",789,"21047"
"Dr",567,"26045"
"St",624,"19179"
"Rd",1325,"06025"
"St",730,"26027"
"Ln",210,"28157"
"Trl",39,"02282"
"St",44,"20179"
"Rd",608,"28079"
"Rd",455,"28025"
"Rd",284,"28037"
"Rd",131,"28099"
"Ave",411,"46045"
"Rd",392,"01035"
"Ln",501,"18029"
"St",364,"18071"
"Dr",768,"28081"
"Rd",217,"22125"
"Rd",558,"05035"
"Rd",810,"12063"
"St",67,"48125"
"Ln",215,"51115"
"Ave",48,"38075"
"St",178,"48283"
"Rd",1938,"36067"
"St",603,"19087"
"Rd",424,"31083"
"Rd",258,"30075"
"Ln",179,"55091"
"Rd",720,"04001"
"St",588,"29121"
"St",235,"48279"
"St",333,"20097"
"Rd",567,"48015"
"St",591,"29061"
"Rd",210,"13253"
"Rd",786,"26101"
"St",273,"19119"
"St",505,"48233"
"Rd",878,"40139"
"Rd",588,"40153"
"St",179,"19003"
"Rd",405,"06101"
"Rd",780,"42105"
"St",520,"48465"
"Ave",264,"20077"
"St",451,"19133"
"Rd",348,"49023"
"Rd",731,"40137"
"Rd",1124,"36017"
"St",947,"17143"
"St",261,"19091"
"Ln",288,"31177"
"Rd",538,"55049"
"St",455,"27097"
"St",7278,"42003"
"St",224,"29205"
"Rd",244,"39097"
"Rd",366,"20201"
"Dr",1383,"17019"
"Rd",223,"16087"
"St",648,"17045"
"Ave",58,"08121"
"St",446,"39065"
"Rd",700,"26113"
"St",68,"38093"
"St",119,"29203"
"Dr",1342,"48423"
"St",7551,"40143"
"Rd",1128,"40091"
"St",442,"48395"
"Rd",597,"48171"
"Dr",6709,"26125"
"Rd",68,"38033"
"Rd",178,"56027"
"St",173,"27117"
"Dr",267,"51099"
"St",457,"53025"
"St",320,"27129"
"Ave",2245,"12001"
"Ave",32,"31091"
"Rd",399,"51147"
"Rd",1067,"49007"
"Rd",2940,"42017"
"St",344,"46059"
"Rd",1727,"42081"
"Rd",524,"16057"
"Dr",212,"13237"
"St",109,"51640"
"St",218,"35037"
"St",20,"48269"
"St",248,"05073"
"St",868,"48451"
"Rd",428,"12049"
"Dr",1130,"39025"
"St",98,"48501"
"St",1095,"41071"
"St",458,"19115"
"St",204,"20049"
"Rd",693,"39121"
"St",511,"39137"
"St",68,"48425"
"St",1324,"42075"
"Rd",336,"30035"
"Rd",333,"32027"
"Ave",168,"27087"
"Ave",1073,"34031"
"Ln",819,"30047"
"Rd",29,"48261"
"Rd",25,"48033"
"Ln",265,"29157"
"St",178,"48411"
"Rd",384,"40073"
"St",235,"48051"
"Rd",690,"36035"
"Rd",540,"28133"
"Rd",1603,"27053"
"Rd",1426,"42027"
"St",465,"48025"
"Rd",491,"47077"
"St",639,"19171"
"Rd",143,"20175"
"St",282,"19135"
"St",268,"31147"
"St",734,"17021"
"Rd",867,"12089"
"Rd",763,"12133"
"Rd",287,"13007"
"St",574,"13275"
"Rd",223,"21005"
"Ct",424,"21185"
"Dr",1236,"13057"
"St",32,"38065"
"Rd",579,"26133"
"Rd",488,"47109"
"Rd",837,"53001"
"St",187,"29057"
"St",1169,"22101"
"Rd",1170,"50007"
"Pl",1162,"15009"
"St",1202,"22057"
"St",703,"19139"
"Rd",1316,"12113"
"Rd",278,"18101"
"Rd",617,"21203"
"Rd",232,"21223"
"Rd",437,"13055"
"Dr",326,"45033"
"Ln",253,"37103"
"St",126,"29199"
"Rd",681,"20131"
"St",119,"20137"
"St",189,"31065"
"Rd",571,"13087"
"St",727,"18177"
"Rd",772,"21009"
"Ave",180,"31093"
"Rd",43,"38025"
"Rd",606,"06005"
"Rd",639,"47049"
"St",343,"20031"
"Rd",556,"26023"
"Rd",523,"51031"
"Rd",641,"39105"
"Rd",988,"54067"
"Rd",515,"40053"
"St",552,"46115"
"Rd",2139,"50027"
"Rd",618,"48455"
"Rd",921,"35001"
"Rd",364,"13205"
"St",1416,"15001"
"Rd",1426,"21147"
"Rd",336,"21191"
"Rd",204,"21215"
"Rd",236,"30041"
"Rd",219,"31175"
"St",126,"48069"
"Rd",718,"24043"
"Rd",782,"21133"
"Rd",512,"34033"
"St",557,"51680"
"Dr",1113,"05125"
"Rd",638,"54053"
"Rd",260,"54021"
"Rd",382,"28063"
"Rd",61,"38079"
"Rd",90,"30103"
"Ln",227,"21049"
"St",1177,"26005"
"Rd",470,"47005"
"St",401,"27015"
"Rd",353,"47137"
"Rd",449,"51109"
"St",349,"18145"
"Dr",5170,"39049"
"Rd",345,"49021"
"Rd",106,"32009"
"Rd",214,"26083"
"St",392,"49039"
"St",63,"20093"
"Dr",2389,"12009"
"Dr",829,"18105"
"St",349,"19117"
"Rd",161,"21239"
"Rd",516,"45053"
"Rd",312,"48043"
"Rd",478,"45065"
"Rd",489,"45087"
"St",278,"27103"
"Rd",1198,"55075"
"St",4386,"53011"
"Rd",737,"55099"
"St",461,"18103"
"Rd",186,"20053"
"Rd",332,"22123"
"Rd",290,"12077"
"Rd",265,"20083"
"Rd",291,"20119"
"Rd",202,"21149"
"Rd",419,"28001"
"Rd",857,"28057"
"Dr",326,"21073"
"Rd",2592,"23009"
"Rd",1139,"23013"
"Dr",452,"13217"
"St",310,"46049"
"Rd",854,"26061"
"Rd",286,"30061"
"Ln",868,"47051"
"Rd",372,"22029"
"Rd",977,"22063"
"St",4700,"25009"
"Rd",370,"46019"
"Dr",1557,"08035"
"Rd",2516,"45079"
"St",1391,"18095"
"Rd",487,"40099"
"St",230,"54009"
"Rd",279,"54013"
"Ln",109,"51021"
"Dr",929,"30111"
"Rd",700,"54043"
"Rd",1420,"06033"
"Rd",266,"13131"
"St",140,"08021"
"Rd",762,"49037"
"St",285,"18133"
"Rd",119,"16047"
"Rd",496,"47167"
"Ln",202,"22121"
"St",251,"29171"
"Rd",875,"56039"
"St",819,"55043"
"St",401,"38059"
"Rd",146,"37041"
"Rd",2773,"37021"
"Rd",664,"06063"
"St",320,"51730"
"Rd",1618,"50023"
"Rd",484,"46093"
"Dr",4582,"18097"
"St",309,"05017"
"Dr",1034,"13021"
"Ln",724,"05115"
"Rd",225,"51175"
"St",1163,"48183"
"Ct",1046,"36087"
"Ln",717,"05089"
"Dr",345,"51800"
"Dr",3272,"08041"
"St",802,"29187"
"St",325,"48475"
"St",81,"08061"
"St",212,"48487"
"Rd",418,"41015"
"Rd",446,"08119"
"St",449,"29049"
"Rd",313,"49051"
"Rd",388,"16029"
"Rd",1073,"37157"
"Rd",624,"05117"
"Rd",616,"05011"
"St",238,"48193"
"Rd",397,"24011"
"St",199,"27041"
"Rd",580,"30043"
"Ct",5053,"51059"
"Rd",183,"30023"
"Ln",906,"47001"
"St",456,"39077"
"Rd",351,"13005"
"Dr",1095,"10001"
"Rd",762,"39173"
"Rd",624,"13157"
"Rd",534,"20003"
"St",857,"17095"
"Rd",196,"30107"
"Ln",441,"47015"
"Rd",1648,"23007"
"Rd",403,"21165"
"St",319,"46089"
"Rd",272,"08051"
"Rd",688,"26029"
"St",179,"27151"
"St",495,"39147"
"Rd",825,"13267"
"St",152,"48429"
"Rd",348,"37117"
"Ln",879,"30081"
"Rd",262,"13317"
"Rd",682,"53043"
"Ave",1857,"06081"
"St",501,"39171"
"St",136,"08009"
"Rd",482,"16021"
"Rd",229,"16007"
"Rd",328,"39159"
"Dr",3219,"39035"
"St",385,"48285"
"Rd",449,"40105"
"Rd",178,"13125"
"Rd",1504,"41059"
"Rd",249,"46102"
"Rd",426,"20117"
"St",211,"22065"
"Rd",512,"30105"
"Dr",896,"13313"
"St",113,"20203"
"St",373,"46023"
"Ave",260,"31027"
"Ln",819,"53035"
"Dr",1755,"17111"
"Rd",72,"30069"
"St",268,"29033"
"Rd",997,"53075"
"St",211,"27147"
"St",217,"31169"
"Rd",340,"47033"
"St",363,"19079"
"Dr",1358,"39165"
"Rd",412,"13255"
"Rd",1260,"34019"
"Rd",1560,"29217"
"St",271,"18121"
"St",332,"19069"
"Rd",365,"13035"
"Cir",225,"08039"
"St",317,"44001"
"St",298,"48035"
"Rd",522,"44005"
"St",551,"39045"
"Ave",45,"38069"
"St",379,"17015"
"St",36,"27125"
"Rd",738,"41031"
"Rd",558,"47021"
"St",362,"46127"
"Rd",1113,"01051"
"Rd",597,"13187"
"Rd",579,"39083"
"St",363,"19017"
"Rd",172,"48175"
"Dr",1780,"37089"
"Ave",782,"12061"
"Rd",78,"48393"
"St",44,"31049"
"Rd",818,"36051"
"St",286,"19141"
"St",272,"48059"
"St",39,"48379"
"St",97,"20067"
"Dr",852,"51105"
"Rd",501,"35051"
"Rd",284,"05043"
"St",122,"31123"
"Rd",738,"29015"
"Rd",737,"05109"
"Rd",1309,"08077"
"St",170,"29065"
"Rd",1000,"51185"
"Rd",1247,"42103"
"Rd",1327,"42115"
"St",250,"48343"
"St",1966,"42125"
"Rd",1008,"50001"
"St",1185,"20103"
"Rd",1026,"26121"
"Rd",123,"02066"
"Rd",135,"02063"
"Dr",1478,"28049"
"St",217,"48281"
"Ct",1589,"51107"
"Rd",630,"29185"
"Rd",1981,"36025"
"Rd",213,"30071"
"St",262,"29129"
"Rd",793,"53045"
"Rd",795,"37127"
"Rd",400,"51199"
"Rd",567,"29159"
"Rd",879,"30063"
"St",191,"20019"
"Rd",677,"48459"
"Ln",622,"51047"
"Rd",472,"40061"
"St",367,"54069"
"Ln",801,"54065"
"Ln",1009,"51165"
"St",210,"18183"
"Rd",1424,"06093"
"St",379,"46037"
"St",1886,"22071"
"Dr",3476,"01073"
"Rd",1663,"01127"
"Rd",416,"29063"
"Rd",704,"12039"
"Rd",271,"13083"
"Dr",1511,"28033"
"Rd",494,"51187"
"St",198,"17047"
"Dr",725,"47113"
"Dr",218,"01111"
"Rd",863,"37009"
"St",49,"08033"
"Dr",779,"39089"
"Ct",204,"51683"
"Rd",570,"05139"
"St",268,"17071"
"Dr",1202,"01101"
"St",2321,"08005"
"Rd",454,"21155"
"Ln",850,"53057"
"Rd",1286,"28067"
"Rd",814,"55021"
"Dr",687,"37019"
"St",216,"27029"
"Ln",285,"51131"
"Rd",316,"20163"
"St",203,"18041"
"St",501,"31079"
"Rd",211,"31081"
"Rd",74,"31115"
"Rd",265,"30091"
"St",98,"31063"
"Rd",378,"01007"
"Rd",705,"28075"
"St",271,"27011"
"St",826,"27013"
"Rd",173,"51091"
"Ln",964,"51177"
"Rd",1052,"33017"
"Dr",998,"13153"
"Rd",718,"26041"
"St",1332,"05131"
"Rd",1496,"06087"
"Rd",354,"13191"
"Rd",338,"13207"
"St",703,"29069"
"St",209,"48483"
"Dr",1204,"13117"
"St",569,"48409"
"Rd",576,"28147"
"St",195,"29137"
"Rd",523,"26073"
"St",129,"48341"
"Ln",271,"45017"
"Rd",488,"56035"
"Rd",345,"21069"
"Rd",780,"55019"
"Rd",1541,"45091"
"St",317,"18001"
"Rd",1035,"22005"
"Rd",506,"42119"
"Dr",1762,"51041"
"Rd",572,"22001"
"Rd",1433,"42039"
"St",574,"46123"
"St",439,"19077"
"St",453,"19183"
"St",249,"46111"
"Rd",966,"40051"
"Rd",2048,"54039"
"St",804,"55109"
"Rd",910,"42121"
"Dr",2608,"39153"
"Dr",675,"13127"
"Dr",760,"48479"
"Dr",454,"37123"
"Rd",2238,"23003"
"Rd",414,"28065"
"Rd",634,"18175"
"Rd",409,"48031"
"Rd",297,"51025"
"Rd",453,"47045"
"Rd",644,"47053"
"Dr",236,"51149"
"St",449,"05075"
"Ave",9,"38027"
"St",2364,"53053"
"Rd",147,"16063"
"Rd",2389,"42071"
"Rd",572,"55057"
"Rd",595,"47151"
"St",121,"46031"
"St",438,"46053"
"Ln",513,"37181"
"Rd",514,"21033"
"Rd",390,"45011"
"Rd",390,"47039"
"St",237,"18009"
"Rd",942,"01055"
"Rd",120,"16025"
"Rd",758,"20155"
"Rd",742,"47119"
"Rd",172,"56015"
"Rd",584,"55107"
"Dr",2601,"55133"
"Rd",313,"21079"
"St",3675,"25021"
"Dr",1222,"18063"
"Rd",942,"17077"
"Dr",743,"45043"
"St",52,"38041"
"Canyon",300,"49019"
"Rd",1774,"49045"
"Dr",580,"51650"
"Rd",538,"55011"
"Ln",754,"51069"
"Rd",418,"54041"
"St",282,"27119"
"Dr",537,"47063"
"Rd",373,"39149"
"St",1011,"16027"
"Rd",234,"30019"
"Dr",1472,"12073"
"Rd",823,"40119"
"Rd",1134,"01039"
"Rd",672,"18093"
"Rd",211,"20069"
"Rd",589,"21045"
"Rd",550,"21169"
"St",363,"29155"
"St",242,"46051"
"St",301,"08071"
"Dr",400,"48299"
"Rd",327,"48319"
"Dr",259,"37043"
"Rd",2500,"36071"
"Rd",495,"54059"
"Rd",401,"20197"
"Dr",991,"39103"
"Ave",2635,"34001"
"Ave",168,"51570"
"St",307,"39031"
"Rd",2204,"06079"
"St",153,"01067"
"St",222,"39175"
"St",173,"48505"
"Rd",186,"13177"
"St",526,"21019"
"Dr",399,"27019"
"St",218,"31037"
"Rd",1021,"45025"
"Rd",506,"47101"
"Ave",2117,"41067"
"Ct",2511,"51810"
"Rd",573,"30057"
"Ln",369,"51103"
"St",410,"29013"
"Rd",1317,"33001"
"Rd",132,"51159"
"Ave",24,"02230"
"Rd",47,"02105"
"Rd",472,"53021"
"St",228,"19093"
"St",4427,"20173"
"Dr",5163,"48453"
"Dr",5557,"12057"
"Ave",1115,"34021"
"St",255,"31023"
"St",3085,"42129"
"Ave",1665,"12015"
"St",412,"19029"
"St",440,"39107"
"Rd",526,"21115"
"St",1092,"44003"
"Rd",1783,"50025"
"Rd",923,"50019"
"Rd",409,"20085"
"Rd",586,"22041"
"Rd",345,"28155"
"Rd",1360,"25011"
"Rd",230,"31031"
"Rd",532,"30001"
"St",398,"29143"
"Rd",471,"05057"
"Dr",1653,"29029"
"Rd",528,"51117"
"Rd",358,"21233"
"Rd",965,"40047"
"Rd",717,"53059"
"St",624,"26091"
"Rd",934,"13123"
"Ave",442,"27135"
"Dr",723,"28089"
"St",408,"48227"
"Rd",798,"54099"
"Rd",927,"40079"
"Rd",580,"54089"
"Dr",5133,"37119"
"St",1470,"34013"
"St",414,"29115"
"Rd",210,"13209"
"Rd",142,"41055"
"Ave",843,"48135"
"St",421,"48293"
"Rd",560,"30067"
"St",487,"27127"
"Dr",403,"47047"
"St",324,"22089"
"Rd",379,"05111"
"Rd",389,"12045"
"St",174,"01021"
"Rd",151,"48351"
"Rd",265,"48219"
"Rd",252,"13009"
"Rd",1031,"37175"
"Ln",1790,"37171"
"St",377,"01031"
"Rd",736,"21207"
"Rd",1615,"22011"
"Rd",1877,"23025"
"Rd",819,"40025"
"Rd",443,"21163"
"Rd",287,"21179"
"Rd",276,"21187"
"St",349,"31125"
"Rd",219,"55078"
"St",240,"48365"
"Rd",408,"21011"
"St",456,"48001"
"Rd",296,"51033"
"St",346,"19167"
"St",224,"06021"
"Ave",1439,"29510"
"Rd",1011,"13111"
"St",270,"46091"
"St",146,"53067"
"Ave",348,"31107"
"Rd",911,"35061"
"Rd",95,"30079"
"Rd",285,"19005"
"St",1779,"48061"
"Dr",3508,"48339"
"Rd",552,"36093"
"Rd",295,"27055"
"Rd",204,"21181"
"St",3076,"25023"
"Ave",1011,"36005"
"Rd",479,"37055"
"Rd",1547,"42005"
"St",642,"55071"
"Rd",854,"55029"
"Rd",610,"37047"
"Rd",747,"39053"
"St",980,"48441"
"St",47,"31135"
"Rd",64,"48205"
"Dr",295,"08049"
"St",417,"48249"
"St",233,"19189"
